,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,BodyType,Doors,Seats,Price,extra_word,engine_capacity,engine_power,fuel_consumption_rate,colour_exterior,colour_interior,location_province,location_state
14749,2,2023,65,0,2,0,0,1,86009.0,0,5.0,5.0,95700.0,77,4.0,2.0,7.7,19,377,590,9
14750,23,2009,393,1,1,0,3,4,137932.0,1,4.0,5.0,8999.0,3419,4.0,2.2,7.6,4,3,3,0
14751,12,2013,64,1,1,0,0,2,150000.0,1,5.0,5.0,9999.0,76,4.0,2.0,6.8,11,3,31,0
14752,68,2023,147,3,2,1,2,0,86009.0,3,2.0,3.0,166384.0,3420,6.0,8.9,0.0,24,384,590,9
14753,5,2023,41,0,1,0,0,3,37.0,0,5.0,7.0,89990.0,969,4.0,2.5,5.6,1,0,59,0
14754,9,2023,78,4,2,0,1,1,86009.0,4,4.0,7.0,57690.0,3421,4.0,1.5,6.2,19,377,590,9
14755,6,2014,6,0,1,0,0,0,191825.0,0,4.0,5.0,54990.0,1581,6.0,3.0,7.5,0,0,12,0
14756,18,2017,83,0,1,0,1,2,129820.0,0,4.0,7.0,18995.0,140,4.0,2.4,9.0,0,3,23,0
14757,2,2023,708,0,2,0,0,3,86009.0,0,5.0,5.0,114900.0,3422,6.0,3.0,6.8,24,377,590,9
14758,11,2014,189,0,1,0,0,1,86655.0,0,4.0,5.0,18990.0,987,4.0,1.6,7.7,10,0,29,0
14759,26,2023,724,5,2,0,2,0,86009.0,5,2.0,3.0,120641.0,3423,4.0,5.2,0.0,25,387,590,9
14760,5,2009,95,5,1,0,2,2,259000.0,5,4.0,5.0,12990.0,174,6.0,4.0,12.1,2,3,9,0
14761,21,2023,650,1,2,1,1,1,86009.0,1,5.0,4.0,42500.0,3424,3.0,1.5,5.7,19,377,590,9
14762,68,2023,147,3,2,0,2,0,86009.0,3,2.0,3.0,150106.0,3425,6.0,7.7,0.0,24,384,590,9
14763,13,2016,42,0,1,0,0,0,79308.0,0,4.0,7.0,33800.0,49,4.0,2.2,7.8,2,0,89,0
14764,21,2023,650,1,2,2,1,1,86009.0,1,5.0,4.0,42500.0,3424,3.0,1.5,5.7,19,377,590,9
14765,10,2018,32,5,1,0,3,0,117526.0,5,4.0,5.0,35990.0,3426,4.0,2.2,7.6,2,3,40,0
14766,18,2014,74,4,1,0,1,2,154070.0,4,4.0,5.0,9990.0,586,4.0,1.8,7.4,0,4,16,0
14767,16,2023,35,0,2,0,0,2,86009.0,0,4.0,5.0,51810.0,504,4.0,2.5,8.2,19,377,590,9
14768,56,2023,698,3,2,0,2,0,86009.0,3,2.0,2.0,315744.0,3428,6.0,0.0,0.0,22,385,590,9
14769,11,2022,82,5,1,0,4,0,6930.0,5,4.0,5.0,54990.0,3344,4.0,2.0,8.0,2,391,1,0
14770,2,2023,726,6,2,0,2,1,86009.0,6,4.0,5.0,107700.0,2744,4.0,2.0,6.2,19,377,590,9
14771,18,2013,139,5,1,1,4,0,123905.0,5,2.0,2.0,24995.0,523,4.0,2.8,8.1,11,3,23,0
14772,19,2011,236,1,1,1,1,1,166218.0,1,3.0,4.0,10888.0,2276,4.0,1.4,5.3,1,3,5,0
14773,56,2023,698,3,2,0,2,0,86009.0,3,2.0,2.0,320467.0,3429,6.0,0.0,0.0,22,385,590,9
14774,5,2023,112,0,2,1,0,0,86009.0,0,2.0,2.0,72950.0,3430,8.0,4.5,10.7,19,377,590,9
14775,19,2013,113,1,1,0,1,1,64111.0,1,5.0,5.0,19950.0,176,4.0,1.8,5.6,1,3,13,0
14776,56,2023,698,3,2,0,2,0,86009.0,3,2.0,2.0,329248.0,3431,6.0,0.0,0.0,22,385,590,9
14777,13,2010,180,4,1,0,3,4,168720.0,4,4.0,5.0,12950.0,3432,4.0,2.2,7.6,1,3,112,0
14778,68,2023,147,3,2,0,2,0,86009.0,3,2.0,3.0,213178.0,3433,6.0,8.9,0.0,24,384,590,9
14779,11,2012,21,4,1,0,3,0,165206.0,4,4.0,5.0,13888.0,3434,4.0,2.2,7.6,0,3,5,0
14780,56,2023,698,3,2,0,2,0,86009.0,3,2.0,2.0,332626.0,3435,6.0,0.0,0.0,22,385,590,9
14781,12,2017,69,6,1,0,0,1,111200.0,6,4.0,5.0,20900.0,21,4.0,2.5,7.3,0,0,22,0
14782,27,2023,461,0,2,0,0,0,86009.0,0,4.0,5.0,170091.0,188,6.0,3.3,8.9,19,377,590,9
14783,9,2014,16,5,1,0,3,4,240395.0,5,4.0,5.0,17750.0,915,4.0,2.2,7.6,0,3,595,0
14784,56,2023,698,3,2,0,2,0,86009.0,3,2.0,2.0,309853.0,3436,6.0,0.0,0.0,22,385,590,9
14785,10,2015,32,5,1,1,4,0,224000.0,5,4.0,5.0,18500.0,110,4.0,2.4,7.2,0,3,9,0
14786,7,2015,170,0,1,0,4,1,92420.0,0,4.0,7.0,29990.0,287,6.0,3.5,10.2,1,0,1,0
14787,14,2023,29,0,2,0,4,4,86009.0,0,4.0,7.0,82750.0,2237,6.0,3.6,10.6,19,380,590,9
14788,25,2004,91,0,1,0,0,1,139190.0,0,4.0,5.0,21600.0,124,8.0,4.5,14.9,1,3,46,0
14789,13,2023,24,0,2,0,0,0,86009.0,0,4.0,5.0,53150.0,148,4.0,2.0,6.3,19,377,590,9
14790,45,2013,301,5,1,1,2,2,199997.0,5,2.0,2.0,7992.0,1886,4.0,2.4,10.7,0,3,11,0
14791,8,2004,38,0,1,0,4,2,227892.0,0,4.0,5.0,9999.0,1230,4.0,2.4,9.0,3,3,15,0
14792,40,2023,267,5,2,0,4,0,86009.0,5,4.0,5.0,38990.0,1354,4.0,2.0,9.4,20,377,590,9
14793,9,2014,16,5,1,0,3,0,278000.0,5,4.0,5.0,11800.0,3437,4.0,2.2,7.6,0,3,9,0
14794,5,2023,112,5,2,1,0,0,86009.0,5,4.0,5.0,77200.0,284,8.0,4.5,10.7,19,377,590,9
14795,4,2023,131,1,2,0,1,4,8.0,1,5.0,5.0,72800.0,803,4.0,1.8,8.0,7,392,4,0
14796,26,2023,727,5,2,1,2,0,86009.0,5,4.0,7.0,82238.0,3438,4.0,5.2,0.0,25,382,590,9
14797,19,2018,330,1,1,0,3,1,53455.0,1,4.0,5.0,74990.0,10,4.0,2.2,7.6,2,0,39,0
14798,21,2023,327,8,2,1,1,1,86009.0,8,2.0,4.0,43680.0,3309,3.0,1.5,6.0,19,377,590,9
14799,10,2013,126,0,1,0,4,0,305720.0,0,4.0,7.0,17950.0,446,4.0,3.2,9.0,5,3,34,0
14800,9,2023,16,5,2,0,0,0,86009.0,5,4.0,5.0,56990.0,2910,4.0,2.0,7.2,19,377,590,9
14801,21,2004,55,1,1,0,1,2,190380.0,1,2.0,4.0,9995.0,3439,4.0,1.6,7.7,9,7,23,0
14802,36,2023,728,3,2,1,2,0,86009.0,3,2.0,3.0,50990.0,3440,4.0,3.8,15.0,24,388,590,9
14803,16,2022,35,0,0,0,1,2,827.0,0,4.0,5.0,42288.0,323,4.0,2.5,7.5,9,6,143,0
14804,2,2023,729,6,2,0,2,3,86009.0,6,4.0,5.0,127400.0,3441,4.0,2.0,2.3,19,377,590,9
14805,5,2012,5,3,1,0,1,2,108022.0,3,8.0,5.0,24848.0,2154,4.0,2.2,7.6,1,3,11,0
14806,21,2013,277,0,1,0,1,0,213779.0,0,4.0,4.0,11750.0,1260,4.0,2.0,5.6,0,3,27,0
14807,6,2023,6,0,2,0,0,0,86009.0,0,4.0,5.0,287988.0,1533,6.0,3.0,7.2,19,377,590,9
14808,65,2022,689,5,1,1,3,2,17.0,5,2.0,5.0,32850.0,3201,4.0,2.2,7.6,0,3,11,0
14809,5,2023,682,2,2,1,2,1,86009.0,2,2.0,4.0,45390.0,104,4.0,2.4,9.5,19,377,590,9
14810,18,2013,74,6,1,0,1,2,178698.0,6,4.0,5.0,7990.0,88,4.0,1.4,6.9,2,4,60,0
14811,11,2019,82,5,1,0,4,0,166220.0,5,4.0,4.0,35999.0,195,5.0,3.2,8.2,0,3,22,0
14812,3,2023,305,0,2,0,0,3,86009.0,0,4.0,5.0,158000.0,809,6.0,3.0,9.2,19,377,590,9
14813,42,2020,245,6,1,0,2,6,33248.0,6,5.0,5.0,82800.0,3211,4.0,0.0,0.0,2,3,54,0
14814,68,2023,705,3,2,0,2,0,86009.0,3,2.0,2.0,234156.0,3442,6.0,0.0,0.0,24,385,590,9
14815,16,2022,35,0,0,0,0,0,3887.0,0,4.0,5.0,45779.0,1935,4.0,2.2,6.0,0,3,31,0
14816,2,2014,137,6,1,0,2,0,113134.0,6,4.0,5.0,26888.0,3443,4.0,2.0,4.5,5,3,5,0
14817,71,2023,84,1,2,0,1,6,86009.0,1,5.0,5.0,79900.0,3444,4.0,0.0,0.0,19,377,590,9
14818,19,2023,46,9,0,2,0,3,2088.0,9,4.0,5.0,102488.0,1126,4.0,2.0,7.1,0,102,39,0
14819,16,2023,730,0,2,0,0,3,86009.0,0,4.0,5.0,77000.0,3445,6.0,3.3,0.0,19,377,590,9
14820,68,2023,147,3,2,0,2,0,86009.0,3,2.0,3.0,109077.0,3446,4.0,5.1,0.0,24,384,590,9
14821,26,2016,105,5,1,1,4,0,179008.0,5,2.0,4.0,29990.0,262,4.0,3.0,8.2,0,9,28,0
14822,47,2023,359,6,2,0,2,1,86009.0,6,4.0,5.0,553600.0,3447,8.0,6.8,15.0,24,377,590,9
14823,12,2009,69,4,1,0,3,2,186573.0,4,4.0,5.0,14999.0,3448,4.0,2.2,7.6,1,3,18,0
14824,68,2023,147,3,2,1,2,0,86009.0,3,2.0,3.0,93892.0,3449,4.0,5.1,0.0,24,384,590,9
14825,5,2017,27,4,1,0,3,2,93768.0,4,4.0,5.0,24999.0,1039,4.0,2.2,7.6,0,0,89,0
14826,21,2023,650,1,2,2,1,1,86009.0,1,5.0,4.0,47500.0,3450,3.0,1.5,5.7,19,377,590,9
14827,20,2018,144,4,1,0,1,2,63215.0,4,4.0,8.0,34880.0,124,6.0,3.3,11.6,5,3,40,0
14828,19,2019,127,0,1,0,1,1,38049.0,0,4.0,5.0,37880.0,670,4.0,1.4,5.3,2,0,106,0
14829,27,2023,179,0,2,0,0,4,86009.0,0,4.0,5.0,99900.0,820,4.0,2.4,8.7,21,380,590,9
14830,16,2023,35,0,2,0,0,2,4.0,0,4.0,5.0,47162.0,40,4.0,2.5,7.5,3,3,31,0
14831,12,2023,177,6,2,1,0,1,86009.0,6,4.0,5.0,51490.0,659,4.0,2.4,9.9,19,377,590,9
14832,25,2007,91,0,1,0,0,1,206149.0,0,4.0,5.0,18890.0,124,8.0,4.8,13.7,5,0,11,0
14833,26,2023,706,9,2,1,2,0,86009.0,9,2.0,3.0,74874.0,3320,4.0,3.0,0.0,25,382,590,9
14834,10,2018,126,0,1,0,4,0,182833.0,0,4.0,5.0,32950.0,2517,4.0,2.4,8.0,3,3,36,0
14835,7,2023,94,5,2,0,1,0,86009.0,5,4.0,5.0,42100.0,2813,4.0,2.3,7.6,19,377,590,9
14836,7,1993,456,2,1,1,3,4,117000.0,2,4.0,5.0,29490.0,3451,4.0,2.2,7.6,3,3,59,0
14837,10,2023,32,5,2,1,4,0,86009.0,5,4.0,4.0,39940.0,110,4.0,2.4,7.9,19,380,590,9
14838,25,2023,504,2,2,1,2,2,86009.0,2,2.0,2.0,125800.0,3452,4.0,2.0,7.5,24,377,590,9
14839,68,2023,147,3,2,1,2,0,86009.0,3,2.0,3.0,119908.0,3454,4.0,5.1,0.0,24,384,590,9
14840,11,2015,189,0,1,0,1,1,120656.0,0,4.0,5.0,14950.0,1705,4.0,1.5,7.2,0,6,0,0
14841,68,2023,147,3,2,0,2,0,86009.0,3,2.0,3.0,113769.0,3455,4.0,5.1,0.0,24,384,590,9
14842,5,2015,10,3,1,0,2,0,174988.0,3,4.0,2.0,32990.0,11,4.0,3.0,8.0,0,3,10,0
14843,18,2012,74,1,1,1,1,2,144613.0,1,5.0,5.0,6999.0,158,4.0,1.8,7.0,4,3,15,0
14844,26,2023,727,5,2,1,2,0,86009.0,5,2.0,3.0,78488.0,3456,4.0,5.2,0.0,25,382,590,9
14845,12,2014,17,0,1,0,0,0,200507.0,0,4.0,5.0,15990.0,967,4.0,2.0,6.5,2,3,596,0
14846,43,2023,594,6,2,0,0,4,86009.0,6,4.0,5.0,122200.0,3234,6.0,3.5,10.7,19,377,590,9
14847,25,2023,504,8,2,0,2,2,86009.0,8,2.0,2.0,158180.0,3458,4.0,2.5,7.4,24,377,590,9
14848,11,2013,25,1,1,0,1,2,105228.0,1,5.0,5.0,14995.0,29,4.0,2.0,6.6,0,0,23,0
14849,28,2023,423,0,2,0,0,1,86009.0,0,4.0,5.0,72100.0,3459,4.0,2.0,8.0,19,377,590,9
14850,9,2021,49,0,1,0,1,1,27875.0,0,4.0,5.0,37990.0,874,4.0,1.4,7.7,0,12,31,0
14851,26,2014,109,0,1,0,4,0,152657.0,0,4.0,7.0,32999.0,1101,4.0,3.0,8.4,0,3,22,0
14852,26,2023,732,5,2,0,2,0,86009.0,5,2.0,3.0,131088.0,3460,6.0,7.8,0.0,25,387,590,9
14853,13,2015,135,3,1,0,2,0,262568.0,3,4.0,3.0,15999.0,436,4.0,2.5,8.8,0,20,26,0
14854,9,2023,11,1,2,0,0,1,86009.0,1,5.0,5.0,66990.0,1306,4.0,2.0,7.8,19,377,590,9
14855,13,2014,39,4,1,0,1,2,98868.0,4,4.0,5.0,16999.0,634,4.0,1.6,6.9,5,3,22,0
14856,68,2023,147,3,2,1,2,0,86009.0,3,2.0,3.0,113380.0,3461,4.0,5.1,0.0,24,384,590,9
14857,11,2007,36,6,1,0,2,2,229860.0,6,4.0,5.0,5990.0,1188,6.0,4.0,10.9,2,3,23,0
14858,68,2023,279,5,2,1,2,0,86009.0,5,2.0,3.0,66336.0,3462,4.0,4.0,0.0,24,380,590,9
14859,11,2019,82,5,1,0,4,0,132249.0,5,4.0,5.0,48800.0,767,5.0,3.2,8.9,1,3,89,0
14860,68,2023,279,5,2,0,2,0,86009.0,5,4.0,7.0,88020.0,3463,4.0,5.1,0.0,24,377,590,9
14861,34,2022,210,5,2,0,4,0,86009.0,5,4.0,5.0,43148.0,1782,4.0,2.0,9.3,0,3,1,0
14862,68,2023,279,3,2,0,2,0,86009.0,3,2.0,3.0,73499.0,3464,4.0,4.0,0.0,24,380,590,9
14863,26,2023,722,3,2,1,2,0,86009.0,3,2.0,3.0,87389.0,3465,4.0,5.2,0.0,25,382,590,9
14864,1,2023,1,1,2,0,3,4,22.0,1,4.0,5.0,21490.0,205,4.0,2.2,7.6,5,12,1,0
14865,2,2023,169,0,2,0,0,0,86009.0,0,4.0,5.0,109900.0,3466,4.0,2.0,6.9,19,377,590,9
14866,32,2022,548,0,2,0,3,4,20.0,0,4.0,5.0,45290.0,9,4.0,2.2,7.6,7,0,1,0
14867,10,2023,32,5,2,1,4,0,86009.0,5,4.0,5.0,49690.0,295,4.0,2.4,7.9,19,380,590,9
14868,32,2022,539,0,0,0,3,4,100.0,0,4.0,5.0,38888.0,9,4.0,2.2,7.6,0,0,1,0
14869,2,2023,12,0,2,0,0,1,86009.0,0,4.0,5.0,126800.0,687,6.0,3.0,8.9,19,377,590,9
14870,1,2022,299,0,0,0,3,4,7250.0,0,4.0,5.0,38000.0,322,4.0,2.2,7.6,0,10,1,0
14871,68,2023,147,3,2,1,2,0,86009.0,3,2.0,3.0,104271.0,3455,4.0,5.1,0.0,24,384,590,9
14872,14,2023,281,0,2,0,3,4,20.0,0,4.0,5.0,89990.0,1933,4.0,2.2,7.6,2,0,1,0
14873,14,2023,281,0,2,0,3,4,20.0,0,4.0,5.0,92888.0,1933,4.0,2.2,7.6,6,0,1,0
14874,70,2023,709,2,2,1,2,1,86009.0,2,2.0,4.0,194990.0,3337,6.0,3.5,10.4,24,377,590,9
14875,34,2023,401,3,2,0,2,0,86009.0,3,5.0,3.0,51042.0,3467,4.0,2.0,0.0,24,388,590,9
14876,34,2022,210,5,0,0,4,0,15.0,5,4.0,5.0,38384.0,1782,4.0,2.0,9.3,8,3,1,0
14877,68,2023,279,5,2,0,2,0,86009.0,5,2.0,3.0,60632.0,3468,4.0,4.0,0.0,24,380,590,9
14878,40,2022,267,5,2,0,3,4,20.0,5,4.0,5.0,38490.0,3469,4.0,2.2,7.6,5,0,1,0
14879,56,2023,711,3,2,0,2,0,86009.0,3,2.0,5.0,155071.0,3470,6.0,6.7,0.0,24,382,590,9
14880,14,2022,367,0,0,0,3,4,25.0,0,4.0,5.0,88888.0,1933,4.0,2.2,7.6,0,0,1,0
14881,5,2017,19,6,1,0,1,2,54350.0,6,4.0,5.0,24990.0,1136,4.0,2.5,7.8,0,12,89,0
